origin_data_source_category_id,target_data_source_category_id
1338897,1002885216
1338986,1002886096
1339013,1002886366
1339024,1002886476
1339099,1002887216
1339138,1002887596
2067635,1003959579
2067640,1003959529
2067643,1003959719
2067646,1003961289
2067647,1003961339
2067652,1003961749
1339173,1002799236
1339177,1002799276
1339189,1002799386
1339198,1002799456
1339203,1002799506
1339206,1002864386
1339207,1002799536
1339217,1002799626
1339234,1002799796
1339240,1002799856
1339246,1002799906
1339247,1002799916
1339251,1002799946
1339253,1002799966
1339254,1002799976
1339255,1002799986
1339256,1002799996
1339257,1002800006
1339293,1002800276
1339294,1002800286
1339295,1002800296
1339296,1002800306
1339297,1002800316
1339298,1002800326
1339299,1002800336
1339300,1002800346
1339301,1002800356
1339302,1002800366
1339314,1002800456
1339315,1002800466
1339316,1002800476
1339317,1002800486
1339318,1002800496
1339319,1004082489
1339321,1002864416
1339322,1002800516
1339323,1002800526
1339324,1002864426
1339325,1002800536
1339326,1002800546
1339327,1004082509
1339328,1002800556
1339329,1002800566
1339330,1002800576
1339331,1002800586
1339332,1002800596
1339334,1002800616
1339335,1002800626
1339336,1002800636
1339337,1002800646
1339339,1002800656
1339340,1002800666
1339346,1002800726
1339347,1002800736
1339350,1002800746
1339352,1002800766
1339356,1002800806
1339359,1002800836
1339363,1002800876
1339365,1002800896
1339366,1002800906
1339369,1002800936
1339370,1002800946
1339377,1002801016
1339379,1002801036
1339381,1002801056
1339382,1002801066
1339383,1002801076
1339384,1002801086
1339385,1002801096
1339386,1002801106
1339393,1002801176
1339394,1002801186
1339395,1002801196
1339396,1002801206
1339397,1002801216
1339400,1002801246
1339402,1002801266
1339406,1002801306
1339408,1002801326
1339409,1002801336
1339410,1002801346
1339413,1002801376
1339415,1002801396
1339430,1002801546
1339432,1002801566
1339434,1002801586
1339435,1002801596
1339451,1002801756
1339457,1002801816
1339458,1002801826
1339460,1002801846
1339461,1002801856
1339471,1002801956
1339472,1002801966
1339473,1002801976
1339474,1002801986
1339485,1002802096
1339488,1002802936
2067653,1002802736
2067655,1002802206
2067656,1002802726
1339491,1002802966
2067658,1002802226
1339493,1002802986
2067659,1002802526
2067660,1002802836
2067661,1002802856
2067662,1002802576
2067663,1002802566
2067664,1002802776
1339495,1002803006
2067665,1002802216
2067666,1002802676
2067667,1002802666
2067668,1002802866
2067670,1002802446
1339502,1002803076
2067671,1002802626
2067672,1002802456
1339503,1002803086
1339504,1002803096
1339505,1002803106
1339507,1002803126
1339509,1002803146
2067674,1002802506
2067675,1002802476
2067676,1002802536
2067677,1002802546
1339523,1002804296
1339524,1002804306
1339525,1002804316
1339527,1002804336
2067678,1002864496
1339532,1002804406
1339533,1002804426
1339534,1002804446
1339535,1002804466
1339536,1002804476
1339539,1002804496
1339540,1002804506
1339542,1002804526
1339543,1002804536
1339544,1002804546
1339555,1002804726
1339560,1002804766
1339561,1002804776
1339562,1002804786
1339564,1002804796
1339566,1002804966
1339567,1002804996
1339568,1002805006
1339569,1002805036
1339570,1002805066
1339571,1002805096
1339572,1002805106
1339573,1002805116
1339574,1002805136
1339575,1002805146
1339576,1002805156
1339592,1002805316
1339593,1002805326
1339594,1002805336
1339595,1002805346
1339596,1002805356
1339597,1002805366
1339598,1002805376
1339599,1002805386
1339603,1002805476
1339604,1002805486
1339612,1002805566
1339614,1002805586
1339616,1002805596
1339617,1002805616
1339619,1002805626
1339620,1002805636
2067682,1002805646
2067683,1002805666
2067684,1002805676
2067685,1002805686
1339622,1002805826
1339624,1002805846
1339625,1002805856
1339629,1002805896
1339631,1002805906
1339632,1002805916
2067689,1002806256
2067691,1002806286
2067692,1002806296
2067694,1002806316
2067696,1002806346
2067697,1002806366
2067698,1002806376
2067699,1002806396
2067701,1002806516
2067702,1002806526
2067704,1002806586
2067705,1002806596
2067707,1002806646
2067709,1002806716
2067710,1002806726
2067711,1002806756
2067713,1002806856
2067714,1002806866
2067717,1002806976
2067718,1002807016
2067719,1002807036
2067720,1002864536
2067721,1002807056
2067722,1002807116
2067725,1002807216
2067728,1002807256
2067730,1002807316
2067741,1009023781
2067742,1009023731
2067743,1009023761
2067744,1009023851
2067747,1009023921
2067749,1009024321
2067750,1009024091
1599810,1009024141
2067754,1009025991
2067755,1009026101
2067756,1009026141
2067757,1009026061
1599833,1004944409
2067758,1009026491
2067759,1009026551
1599841,1004944489
1599842,1004944499
2067762,1009026721
2067763,1009026671
2067765,1009027241
2067767,1009027231
2067769,1009027171
2067774,1009028121
1599863,1004944669
1599864,1004944679
2067780,1009028661
2067781,1009029041
2067782,1009029221
2067785,1009028771
2067786,1009028691
2067788,1009030431
2067790,1009030481
1599874,1004944769
1599877,1004944799
2067796,1009030711
1599888,1004944889
1599894,1004944949
2067798,1009031051
1599899,1004944989
2067800,1009031161
2067801,1009031221
1599902,1004945019
2067806,1009031511
1599904,1004945039
1599905,1004945049
1599906,1004945059
1599907,1004945069
1599909,1004945089
1599910,1004945099
1599911,1004945109
1599924,1004945219
2067808,1009034471
2067810,1009032271
2067814,1009032461
2067829,1009033351
2067836,1004994259
1339668,1002855576
1339669,1002855586
1339684,1002855706
1339689,1002855746
1339691,1002855766
1339692,1002855776
1339693,1002855786
1339695,1002855796
1339696,1002855806
1339697,1002855816
1339700,1002855846
1339704,1002855876
1339718,1002856016
1339721,1002856046
1339723,1002856066
1339728,1002856116
1339733,1002856166
1339737,1002856206
1339739,1002856226
1339741,1002856246
1339753,1002856346
1339754,1002856356
1339756,1002856376
1339763,1002856426
1339764,1002856436
1339765,1002856446
1339781,1002856566
1339784,1002856596
1339792,1002856656
1339793,1002856666
1339794,1002856676
1339795,1002856686
1339797,1002856706
1339799,1002856726
1339801,1002856746
1339802,1002856756
1339803,1002856766
1339804,1002856776
1339805,1002856786
1339806,1002856796
1339808,1002856816
1339810,1002856836
1339813,1002856856
1339816,1002856886
2067838,1002856976
1339845,1002857146
1339847,1002857166
2067841,1003968709
1339852,1009020531
1339853,1002857226
2067843,1003968909
1339880,1002857486
1339881,1002857496
1339883,1002857516
1339884,1002857526
1339886,1002857546
1339899,1002857696
1339900,1002857706
1339902,1002857726
1339903,1002857736
2067846,1004395879
1339904,1002857746
1339909,1002857796
1339911,1002857816
1339917,1002857866
1339918,1002857876
1339919,1002857886
2067847,1004395919
1339937,1002858066
2067848,1003969599
2067849,1003969729
2067850,1003969739
1339949,1012800011
1339950,1002858166
1339951,1002858176
1339952,1002858186
1339954,1002858206
1339955,1002858216
2067851,1003969789
2067852,1003969859
1339958,1002858236
2067853,1004396779
2067854,1003969909
1339959,1012800031
1339963,1012800051
1339970,1002858346
1339972,1002858356
1339973,1002858366
1339974,1002858376
2067856,1003970199
2067857,1003970209
2067858,1003970229
2067859,1003970239
2067860,1004396019
2067861,1003970269
1339979,1012800111
1339980,1002858426
1339981,1002858436
1339990,1002858526
1339997,1002858586
1340000,1002858616
1340001,1002858626
1340002,1002858636
1340003,1002858646
1340006,1002858676
1340010,1002858716
1340013,1002858746
1340020,1012800191
1340021,1002858826
1340022,1002858836
2067865,1012800281
2067867,1012800251
2067868,1012800271
2067869,1012800261
2067871,1012800291
1340136,1002809296
1340252,1002810426
1340256,1002810466
1340258,1002810486
1340263,1002810536
1340265,1002810556
1340270,1002810606
1340271,1002810616
1340276,1002810666
1340277,1002810676
1340281,1002810716
2037772,1009215591
2037773,1009215601
2037774,1009215611
2037775,1009215621
2037776,1009215631
2037778,1009299281
2037779,1009299291
2037780,1009299301
2037786,1009215641
2037787,1009215651
2037782,1009299351
2037784,1009299371
2037783,1009299361
2037789,1009299391
2037788,1009299381
2037793,1009299411
2037794,1009299421
2067634,1003959879
2067645,1003960899
2123532,1002864446
2123533,1002864466
2123534,1002864486
2197881,1012796231
2123535,1004082559
2123536,1004082569
2123539,1002800056
