origin_data_source_category_id,target_data_source_category_id
1013681251,1017541811
1013681211,1017541821
1013681191,1017541831
1013681221,1017541841
1013681271,1017541851
1013681181,1017541861
1013681291,1017541871
1013681231,1017541881
1013694631,1017541901
1013694751,1017541911
1013848321,1017541921
1014084701,1017541931
1014124101,1017541941
1014124111,1017541951
1014124121,1017541961
1014124091,1017541971
1014124131,1017541981
1014770401,1017542001
1014770411,1017542011
1014770501,1017542041
1014770541,1017542091
1014770561,1017542101
1014770581,1017542111
1014770601,1017542001
1014770621,1017542131
1014770641,1017542141
1014770661,1017542151
1014770681,1017542161
1014770701,1017542051
1014771721,1017542081
1014770681,1017542041
1014770701,1017542171
1014770721,1017542181
1014770741,1017542191
1014770761,1017542201
1014770781,1017542211
1014770801,1017542221
1014770821,1017542231
1014770841,1017542241
1014770861,1017542251
1014770881,1017542351
1014770901,1017542271
1014770921,1017542281
1014770941,1017542381
1014770961,1017542301
1014770981,1017542311
1014771001,1017542411
1014771021,1017542331
1014771041,1017542341
1014771061,1017542261
1014771081,1017542361
1014771101,1017542371
1014771121,1017542291
1014771161,1017542401
1014771181,1017542321
1014771241,1017542431
1014771221,1017542441
1014771261,1017542451
1014771321,1017542471
1014771401,1017542481
1014771421,1017542491
1014771441,1017542501
1014771461,1017542511
1014771481,1017542521
1014771501,1017542531
1014771521,1017542541
1014771541,1017542551
1014771561,1017542561
1014771581,1017542571
1014771641,1017542581
1014771621,1017542591
1014771601,1017542601
1014771661,1017542611
1014771681,1017542621
1015542591,1017542421
