origin_data_source_category_id,target_data_source_category_id
1002593,1014786851
1003419,1011338961
1003441,1011338931
1003442,1011338941
1003443,1011338911
1003444,1011338921
1003445,1011338951
1003446,1011338781
1003447,1011338891
1003448,1011338831
1003450,1011338761
1003451,1011338811
1003453,1011338791
1003455,1011338841
1003457,1011338771
1003458,1011338821
1003459,1011338871
1003460,1011338801
1003461,1011338901
1003462,1011338851
1003463,1011338861
1003907,1011338881
1003908,1011338641
1003918,1011338701
1003919,1011338611
1003920,1011338671
1003921,1011338721
1003922,1011338651
1003923,1011338741
1003926,1011338621
1003927,1011338681
1003929,1011338661
1003930,1011338751
1003931,1011338691
1003932,1011338711
1003933,1011338631
1003934,1011338511
1003935,1011012401
1003936,1011338491
1003937,1011338591
1003938,1011338541
1003939,1011338551
1003940,1011338471
1003941,1011338521
1003942,1011338571
1003943,1011338501
1003944,1011338601
1004618,1011338561
1004619,1011338481
1004620,1011338531
1004621,1011338581
1004622,1011338341
1004623,1011338451
1004624,1011338391
1004625,1011338411
1004626,1011338321
1004627,1011338371
1004628,1011338431
1004629,1011338351
1004630,1011338461
1004631,1011338401
1004632,1011338421
1004633,1011338331
1004634,1011338381
1004635,1011338441
1004636,1011338361
1004637,1011338291
1004638,1011338221
1004639,1011338241
1004640,1011338171
1004641,1011338201
1004642,1011338271
1004643,1011338181
1004644,1011338301
1004646,1011338251
1004648,1011338211
1004649,1011338281
1004650,1011338191
1004651,1011338311
1004652,1011338231
1004653,1011338261
1004654,1011338021
1004655,1011338071
1004656,1011338121
1004657,1011338041
1004658,1011338141
1004659,1011338091
1004660,1011338111
1004661,1011338031
1004662,1011338081
1004663,1011338131
1004664,1011338051
1004665,1011338151
1004750,1015220341
1005063,1011338061
1005064,1011338161
1005065,1011338101
1005134,1012105461
1005149,1012105441
1005159,1012105451
1005169,1012105421
1005179,1012105481
1005184,1012105471
1005194,1012105431
1005209,1012105321
1005219,1012105381
1005224,1012105401
1005234,1012105351
1005239,1012105411
1005249,1012105361
1005254,1012105291
1005264,1012105271
1005269,1012105301
1005279,1012105281
1005284,1012105331
1005299,1012105341
1005309,1012105371
1005314,1012105311
1005334,1012105391
1005339,1012105121
1005344,1012105161
1005359,1012105171
1005364,1012105131
1005369,1012105201
1005374,1012105241
1005384,1012105181
1005389,1012105251
1005687,1011343761
1005688,1011343711
1005689,1011343691
1005690,1011343741
1005691,1011343751
1005692,1011343781
1005693,1011343731
1005694,1011343771
1005695,1011343721
1005696,1011343701
1006783,1011348011
1006784,1011348101
1006785,1011348061
1006786,1011348081
1006787,1011348041
1006788,1011347991
1006789,1011348121
1006790,1011348021
1006791,1011348111
1006792,1011348071
1006793,1011348091
1006794,1011348051
1006795,1011348001
1006796,1011348131
1006797,1011348031
1010202,1011398371
1010203,1011398341
1010204,1011398321
1010213,1011398301
1010217,1011398351
1010218,1011398331
1010219,1011398361
1010220,1011398311
1010221,1011398191
1010222,1011398221
1010223,1011398281
1010224,1011398241
1010225,1011398171
1010226,1011398261
1010227,1011398151
1010228,1011398201
1010229,1011398231
1010230,1011398291
1010231,1011398251
1010232,1011398181
1010233,1011398271
1010234,1011398161
1010235,1011398211
1010236,1011398051
1010237,1011398121
1010238,1011398091
1010239,1011398021
1010240,1011398111
1010241,1011398001
1010242,1011398041
1010243,1011398061
1010244,1011398131
1010357,1011398101
1010397,1011398071
1010402,1011398011
1010407,1011398031
1010412,1011398141
1010418,1011398081
1011223,1011432091
1011224,1011432121
1011226,1011432141
1011227,1011432161
1011228,1011432171
1011230,1011432101
1011231,1011432131
1011232,1011432191
1011233,1011432151
1011235,1011432181
1011236,1011432201
1011237,1011432111
1012549,1011464701
1012550,1011781361
1012551,1011464721
1012552,1011464691
1012553,1011464711
1012554,1011781391
1012555,1011781421
1012556,1011464581
1012557,1011781371
1012558,1011464651
1012559,1011464541
1012560,1011464621
1012561,1011781401
1012562,1011781431
1012563,1011464591
1012564,1011781381
1012565,1011464661
1012566,1011464551
1012567,1011464631
1012568,1011781411
1012569,1011781441
1012570,1011464601
1012571,1011781241
1012572,1011464671
1012573,1011464561
1012574,1011464641
1012575,1011781291
1012576,1011781321
1012577,1011464611
1012578,1011781251
1012579,1011464681
1012581,1011464491
1012582,1011781301
1012583,1011781331
1012584,1011464461
1012585,1011781261
1012586,1011464511
1012587,1011464451
1012588,1011464501
1012589,1011781311
1012590,1011781341
1012591,1011464471
1012592,1011781271
1012593,1011464521
1012954,1011781351
1012955,1011464481
1012956,1011781281
1012957,1011464531
1012958,1011464391
1012959,1011464421
1012960,1011493661
1012961,1011493671
1012962,1011464411
1012963,1011493651
1012964,1011464441
1012965,1011464401
1012966,1011464431
1014600,1012105211
1014615,1012105221
1014620,1012105261
1014625,1012105141
1014630,1012105191
1014640,1012105231
1014650,1012105151
1014660,1012104971
1014665,1012105011
1019137,1011575071
1019138,1011575091
1019139,1011575031
1019140,1011575011
1019142,1011574991
1019143,1011575051
1019144,1011575081
1019145,1011575101
1019146,1011575041
1019147,1011575021
1019148,1011574981
1019149,1011575001
1019150,1011575061
1019151,1011574941
1019153,1011574891
1019154,1011574871
1019155,1011574831
1019156,1011574851
1019157,1011574921
1019159,1011574961
1019160,1011574901
1019161,1011574881
1019162,1011574841
1019163,1011574861
1019164,1011574931
1019165,1011574951
1019166,1011574971
1019167,1011574911
1019438,1011547141
1019439,1011547121
1019440,1011547171
1019441,1011547161
1019442,1011547181
1019443,1011547191
1019444,1011547131
1019445,1011547151
1019446,1011546971
1019447,1011547061
1019448,1011547041
1019449,1011547091
1019450,1011547111
1019452,1011547021
1019453,1011546981
1019454,1011547071
1019455,1011547051
1019456,1011547101
1019458,1011547011
1019459,1011547031
1019460,1011546991
1019461,1011547081
1019462,1011546881
1019463,1011546931
1019464,1011546951
1019465,1011546841
1019466,1011546861
1019467,1011546821
1019468,1011546911
1019469,1011546891
1019470,1011546941
1019471,1011546961
1019472,1011546851
1019473,1011546871
1019474,1011546831
1019475,1011546921
1019476,1011546901
1019477,1011546771
1019478,1011546801
1019479,1011546691
1019480,1011546711
1019481,1011546671
1019482,1011546751
1019483,1011546731
1019484,1011546781
1019485,1011546811
1019486,1011546701
1019487,1011546721
1019488,1011546681
1019489,1011546761
1019490,1011546741
1019491,1011546791
1024703,1011634221
1024704,1011634161
1024705,1011634131
1024706,1011634181
1024708,1011634141
1024709,1011634191
1024710,1011634171
1024713,1011634211
1024714,1011634151
1024715,1011634201
1024716,1011634041
1024733,1011634021
1024739,1011634111
1024740,1011634081
1024741,1011633981
1024742,1011634061
1024744,1011634051
