origin_data_source_category_id,target_data_source_category_id,origin_data_source_category_size,target_data_source_category_size,size_change
1002593,1014786851,10585356,0,0
1003419,1011338961,2382312,0,0
1003441,1011338931,2441268,0,0
1003442,1011338941,2433924,0,0
1003443,1011338911,2440452,0,0
1003444,1011338921,2143836,0,0
1003445,1011338951,2458608,0,0
1003446,1011338781,2467584,0,0
1003447,1011338891,2615892,0,0
1003448,1011338831,2278476,0,0
1003450,1011338761,2402304,0,0
1003451,1011338811,2166072,0,0
1003453,1011338791,2330292,0,0
1003455,1011338841,2361504,0,0
1003457,1011338771,2304384,0,0
1003458,1011338821,2525928,0,0
1003459,1011338871,2335596,0,0
1003460,1011338801,2109564,0,0
1003461,1011338901,2215032,0,0
1003462,1011338851,2221560,0,0
1003463,1011338861,2181576,0,0
1003907,1011338881,2418420,0,0
1003908,1011338641,2167500,0,0
1003918,1011338701,2516136,0,0
1003919,1011338611,2385372,0,0
1003920,1011338671,2411484,0,0
1003921,1011338721,2350488,0,0
1003922,1011338651,2365788,0,0
1003923,1011338741,2160156,0,0
1003926,1011338621,2388432,0,0
1003927,1011338681,2452080,0,0
1003929,1011338661,2298264,0,0
1003930,1011338751,2327844,0,0
1003931,1011338691,2258688,0,0
1003932,1011338711,2359260,0,0
1003933,1011338631,2258688,0,0
1003934,1011338511,2329680,0,0
1003935,1011012401,1890876,0,0
1003936,1011338491,2106504,0,0
1003937,1011338591,2183616,0,0
1003938,1011338541,2037756,0,0
1003939,1011338551,2237268,0,0
1003940,1011338471,2209116,0,0
1003941,1011338521,2358648,0,0
1003942,1011338571,2037960,0,0
1003943,1011338501,2277864,0,0
1003944,1011338601,2130168,0,0
1004618,1011338561,2082432,0,0
1004619,1011338481,2618340,0,0
1004620,1011338531,2247468,0,0
1004621,1011338581,2231760,0,0
1004622,1011338341,2378844,0,0
1004623,1011338451,2224620,0,0
1004624,1011338391,2457996,0,0
1004625,1011338411,2169948,0,0
1004626,1011338321,2302344,0,0
1004627,1011338371,2386800,0,0
1004628,1011338431,2528376,0,0
1004629,1011338351,2452080,0,0
1004630,1011338461,2188512,0,0
1004631,1011338401,2201364,0,0
1004632,1011338421,2036940,0,0
1004633,1011338331,2550204,0,0
1004634,1011338381,2459220,0,0
1004635,1011338441,2280924,0,0
1004636,1011338361,2785008,0,0
1004637,1011338291,2476764,0,0
1004638,1011338221,2653428,0,0
1004639,1011338241,2611200,0,0
1004640,1011338171,2436780,0,0
1004641,1011338201,2459220,0,0
1004642,1011338271,2432904,0,0
1004643,1011338181,2320500,0,0
1004644,1011338301,2442696,0,0
1004646,1011338251,2405568,0,0
1004648,1011338211,2459016,0,0
1004649,1011338281,2223396,0,0
1004650,1011338191,2175456,0,0
1004651,1011338311,2461872,0,0
1004652,1011338231,2427396,0,0
1004653,1011338261,2045304,0,0
1004654,1011338021,2269908,0,0
1004655,1011338071,2220540,0,0
1004656,1011338121,2455956,0,0
1004657,1011338041,2321928,0,0
1004658,1011338141,2239512,0,0
1004659,1011338091,2271948,0,0
1004660,1011338111,2237268,0,0
1004661,1011338031,2166072,0,0
1004662,1011338081,2114868,0,0
1004663,1011338131,2240532,0,0
1004664,1011338051,2592636,0,0
1004665,1011338151,2306628,0,0
1004750,1015220341,1255416,0,0
1005063,1011338061,2285004,0,0
1005064,1011338161,2230332,0,0
1005065,1011338101,2357220,0,0
1005134,1012105461,0,0,0
1005149,1012105441,0,0,0
1005159,1012105451,0,0,0
1005169,1012105421,0,0,0
1005179,1012105481,0,0,0
1005184,1012105471,0,0,0
1005194,1012105431,0,0,0
1005209,1012105321,0,0,0
1005219,1012105381,0,0,0
1005224,1012105401,0,0,0
1005234,1012105351,0,0,0
1005239,1012105411,0,0,0
1005249,1012105361,0,0,0
1005254,1012105291,0,0,0
1005264,1012105271,0,0,0
1005269,1012105301,0,0,0
1005279,1012105281,0,0,0
1005284,1012105331,0,0,0
1005299,1012105341,0,0,0
1005309,1012105371,0,0,0
1005314,1012105311,0,0,0
1005334,1012105391,0,0,0
1005339,1012105121,0,0,0
1005344,1012105161,0,0,0
1005359,1012105171,0,0,0
1005364,1012105131,0,0,0
1005369,1012105201,0,0,0
1005374,1012105241,0,0,0
1005384,1012105181,2996964,0,0
1005389,1012105251,0,0,0
1005687,1011343761,6042684,0,0
1005688,1011343711,6311556,0,0
1005689,1011343691,5276868,0,0
1005690,1011343741,7594104,0,0
1005691,1011343751,4692612,0,0
1005692,1011343781,4770336,0,0
1005693,1011343731,4526760,0,0
1005694,1011343771,6227100,0,0
1005695,1011343721,5113464,0,0
1005696,1011343701,2353140,0,0
1006783,1011348011,2567340,0,0
1006784,1011348101,2539188,0,0
1006785,1011348061,2380884,0,0
1006786,1011348081,2605488,0,0
1006787,1011348041,2518380,0,0
1006788,1011347991,2617320,0,0
1006789,1011348121,2681376,0,0
1006790,1011348021,2609976,0,0
1006791,1011348111,2434128,0,0
1006792,1011348071,2546736,0,0
1006793,1011348091,2473092,0,0
1006794,1011348051,2292552,0,0
1006795,1011348001,2581824,0,0
1006796,1011348131,2504916,0,0
1006797,1011348031,2485128,0,0
1010202,1011398371,2527764,0,0
1010203,1011398341,2392716,0,0
1010204,1011398321,2340084,0,0
1010213,1011398301,2289084,0,0
1010217,1011398351,2301324,0,0
1010218,1011398331,2329884,0,0
1010219,1011398361,2378844,0,0
1010220,1011398311,2369256,0,0
1010221,1011398191,2159952,0,0
1010222,1011398221,1827432,0,0
1010223,1011398281,2107524,0,0
1010224,1011398241,2274396,0,0
1010225,1011398171,2309076,0,0
1010226,1011398261,2315196,0,0
1010227,1011398151,2247876,0,0
1010228,1011398201,2340084,0,0
1010229,1011398231,2120376,0,0
1010230,1011398291,2042244,0,0
1010231,1011398251,2025720,0,0
1010232,1011398181,2146080,0,0
1010233,1011398271,2194632,0,0
1010234,1011398161,1980432,0,0
1010235,1011398211,2271336,0,0
1010236,1011398051,2450448,0,0
1010237,1011398121,2150772,0,0
1010238,1011398091,2385576,0,0
1010239,1011398021,2115072,0,0
1010240,1011398111,2147100,0,0
1010241,1011398001,2044080,0,0
1010242,1011398041,2258280,0,0
1010243,1011398061,2323152,0,0
1010244,1011398131,2266032,0,0
1010357,1011398101,2201364,0,0
1010397,1011398071,1272960,0,0
1010402,1011398011,1250112,0,0
1010407,1011398031,1350072,0,0
1010412,1011398141,1193808,0,0
1010418,1011398081,1315188,0,0
1011223,1011432091,5552064,0,0
1011224,1011432121,4497996,0,0
1011226,1011432141,5136516,0,0
1011227,1011432161,4532880,0,0
1011228,1011432171,4958628,0,0
1011230,1011432101,3291540,0,0
1011231,1011432131,8041476,0,0
1011232,1011432191,5491272,0,0
1011233,1011432151,6550032,0,0
1011235,1011432181,4177920,0,0
1011236,1011432201,3914556,0,0
1011237,1011432111,3696480,0,0
1012549,1011464701,2546328,0,0
1012550,1011781361,2516544,0,0
1012551,1011464721,2440452,0,0
1012552,1011464691,2536128,0,0
1012553,1011464711,2414748,0,0
1012554,1011781391,2349672,0,0
1012555,1011781421,2041632,0,0
1012556,1011464581,2228088,0,0
1012557,1011781371,2354160,0,0
1012558,1011464651,2184228,0,0
1012559,1011464541,2370684,0,0
1012560,1011464621,2499000,0,0
1012561,1011781401,2632416,0,0
1012562,1011781431,2587128,0,0
1012563,1011464591,2355180,0,0
1012564,1011781381,2438412,0,0
1012565,1011464661,2394960,0,0
1012566,1011464551,2202996,0,0
1012567,1011464631,2414340,0,0
1012568,1011781411,2463708,0,0
1012569,1011781441,2233392,0,0
1012570,1011464601,2388840,0,0
1012571,1011781241,2287452,0,0
1012572,1011464671,2314176,0,0
1012573,1011464561,2365992,0,0
1012574,1011464641,2413524,0,0
1012575,1011781291,2479008,0,0
1012576,1011781321,2491044,0,0
1012577,1011464611,2463504,0,0
1012578,1011781251,2260932,0,0
1012579,1011464681,2447592,0,0
1012581,1011464491,2079576,0,0
1012582,1011781301,2192796,0,0
1012583,1011781331,2116296,0,0
1012584,1011464461,2212380,0,0
1012585,1011781261,2225844,0,0
1012586,1011464511,2238084,0,0
1012587,1011464451,2328456,0,0
1012588,1011464501,2145876,0,0
1012589,1011781311,2405976,0,0
1012590,1011781341,2286432,0,0
1012591,1011464471,2057340,0,0
1012592,1011781271,2082432,0,0
1012593,1011464521,2510628,0,0
1012954,1011781351,2514708,0,0
1012955,1011464481,2661384,0,0
1012956,1011781281,2575908,0,0
1012957,1011464531,2550612,0,0
1012958,1011464391,2599164,0,0
1012959,1011464421,2479824,0,0
1012960,1011493661,2421888,0,0
1012961,1011493671,2407200,0,0
1012962,1011464411,2411688,0,0
1012963,1011493651,2434332,0,0
1012964,1011464441,2791332,0,0
1012965,1011464401,2202588,0,0
1012966,1011464431,2568564,0,0
1014600,1012105211,0,0,0
1014615,1012105221,0,0,0
1014620,1012105261,0,0,0
1014625,1012105141,0,0,0
1014630,1012105191,0,0,0
1014640,1012105231,0,0,0
1014650,1012105151,0,0,0
1014660,1012104971,0,0,0
1014665,1012105011,0,0,0
1019137,1011575071,2416176,0,0
1019138,1011575091,2351508,0,0
1019139,1011575031,2340084,0,0
1019140,1011575011,2546532,0,0
1019142,1011574991,2387004,0,0
1019143,1011575051,2413728,0,0
1019144,1011575081,2438616,0,0
1019145,1011575101,2563464,0,0
1019146,1011575041,2463912,0,0
1019147,1011575021,2371500,0,0
1019148,1011574981,2406996,0,0
1019149,1011575001,2373948,0,0
1019150,1011575061,2173620,0,0
1019151,1011574941,2313360,0,0
1019153,1011574891,5755044,0,0
1019154,1011574871,3638136,0,0
1019155,1011574831,4622232,0,0
1019156,1011574851,3808680,0,0
1019157,1011574921,4260336,0,0
1019159,1011574961,4388652,0,0
1019160,1011574901,5785848,0,0
1019161,1011574881,4388448,0,0
1019162,1011574841,3456780,0,0
1019163,1011574861,6699768,0,0
1019164,1011574931,3989832,0,0
1019165,1011574951,3855192,0,0
1019166,1011574971,5216280,0,0
1019167,1011574911,5102652,0,0
1019438,1011547141,2198508,0,0
1019439,1011547121,2209728,0,0
1019440,1011547171,2126700,0,0
1019441,1011547161,2292144,0,0
1019442,1011547181,2196264,0,0
1019443,1011547191,2115684,0,0
1019444,1011547131,2171172,0,0
1019445,1011547151,2204832,0,0
1019446,1011546971,2003892,0,0
1019447,1011547061,2238492,0,0
1019448,1011547041,2119560,0,0
1019449,1011547091,2235840,0,0
1019450,1011547111,2343348,0,0
1019452,1011547021,2229924,0,0
1019453,1011546981,1912704,0,0
1019454,1011547071,2017356,0,0
1019455,1011547051,1968600,0,0
1019456,1011547101,2091408,0,0
1019458,1011547011,1801116,0,0
1019459,1011547031,2041020,0,0
1019460,1011546991,1990632,0,0
1019461,1011547081,2136900,0,0
1019462,1011546881,2096304,0,0
1019463,1011546931,2039796,0,0
1019464,1011546951,1975128,0,0
1019465,1011546841,2190756,0,0
1019466,1011546861,2074272,0,0
1019467,1011546821,2283780,0,0
1019468,1011546911,2154444,0,0
1019469,1011546891,2089776,0,0
1019470,1011546941,2080392,0,0
1019471,1011546961,2129148,0,0
1019472,1011546851,2114664,0,0
1019473,1011546871,2186880,0,0
1019474,1011546831,2062032,0,0
1019475,1011546921,2189736,0,0
1019476,1011546901,2214624,0,0
1019477,1011546771,2301732,0,0
1019478,1011546801,2367624,0,0
1019479,1011546691,2441268,0,0
1019480,1011546711,2305404,0,0
1019481,1011546671,2292960,0,0
1019482,1011546751,2225028,0,0
1019483,1011546731,2074068,0,0
1019484,1011546781,2127720,0,0
1019485,1011546811,1996752,0,0
1019486,1011546701,2025924,0,0
1019487,1011546721,2146692,0,0
1019488,1011546681,2162400,0,0
1019489,1011546761,2350284,0,0
1019490,1011546741,2211156,0,0
1019491,1011546791,2355180,0,0
1024703,1011634221,3444948,0,0
1024704,1011634161,5552064,0,0
1024705,1011634131,5069196,0,0
1024706,1011634181,4374780,0,0
1024708,1011634141,5070216,0,0
1024709,1011634191,4144056,0,0
1024710,1011634171,3606720,0,0
1024713,1011634211,3896400,0,0
1024714,1011634151,5618160,0,0
1024715,1011634201,6241992,0,0
1024716,1011634041,7917852,0,0
1024733,1011634021,8202636,0,0
1024739,1011634111,6413556,0,0
1024740,1011634081,5196696,0,0
1024741,1011633981,3616104,0,0
1024742,1011634061,2537148,0,0
1024744,1011634051,2136084,0,0
1024745,1011634121,2267052,0,0
1024746,1011634011,2161788,0,0
1024796,1011634031,2170560,0,0
1024797,1011634091,2014500,0,0
1024798,1011633991,6200988,0,0
1024799,1011634071,7698348,0,0
1024800,1011634101,7673664,0,0
1024801,1011634001,8414592,0,0
1024802,1011633951,10982748,0,0
1024803,1011633921,10339128,0,0
1024804,1011633931,6855216,0,0
1024805,1011633971,8351148,0,0
1024806,1011633881,5938032,0,0
1024807,1011633841,8060856,0,0
1024808,1011633901,6929880,0,0
1024809,1011633961,8831160,0,0
1024810,1011633941,2624256,0,0
1024939,1011641231,2254812,0,0
1024941,1011641261,1991856,0,0
1024942,1011641251,2457180,0,0
1024943,1011641241,2146488,0,0
1024944,1011641111,2216868,0,0
1024945,1011641161,2156280,0,0
1024947,1011641081,2178516,0,0
1024948,1011641201,2222172,0,0
1026015,1011641121,2343756,0,0
1026016,1011641171,2355996,0,0
1026017,1011641141,2321112,0,0
1026018,1011641091,2549184,0,0
1026019,1011641211,2263176,0,0
1026025,1011641221,2130780,0,0
1026054,1011633891,5422524,0,0
1028877,1012105041,0,0,0
1028887,1012105091,0,0,0
1028912,1012105111,0,0,0
1028917,1012105001,0,0,0
1028947,1012105101,0,0,0
1028952,1012104981,0,0,0
1028962,1012105071,0,0,0
1028967,1012104991,0,0,0
1028977,1012105081,0,0,0
1028982,1012105051,0,0,0
1028987,1012105021,0,0,0
1028997,1012105061,0,0,0
1029002,1012105031,0,0,0
1029007,1012104911,0,0,0
1029012,1012104891,0,0,0
1029027,1012104901,0,0,0
1029032,1012104961,0,0,0
1029037,1012104841,0,0,0
1029042,1012104871,0,0,0
1029052,1012104941,0,0,0
1029057,1012104881,0,0,0
1029062,1012104851,0,0,0
1029067,1012104951,0,0,0
1029072,1012104821,0,0,0
1029082,1012104921,0,0,0
1029087,1012104831,0,0,0
1029092,1012104861,0,0,0
1029097,1012104931,0,0,0
1029107,1012104801,0,0,0
1029112,1012104781,0,0,0
1029117,1012104741,0,0,0
1029122,1012104701,0,0,0
1029127,1012104791,0,0,0
1029132,1012104671,2774808,0,0
1029137,1012104711,0,0,0
1029142,1012104761,0,0,0
1029147,1012104681,0,0,0
1029152,1012104721,0,0,0
1029157,1012104771,0,0,0
1029167,1012104731,0,0,0
1029172,1012104691,0,0,0
1029177,1012104751,0,0,0
1029182,1012104811,0,0,0
1029192,1012104591,0,0,0
1029202,1012104621,0,0,0
1029207,1012104521,0,0,0
1029212,1012104571,0,0,0
1029217,1012104631,0,0,0
1029222,1012104611,0,0,0
1029227,1012104581,0,0,0
1029232,1012104541,0,0,0
1029242,1012104661,0,0,0
1029526,1011759061,1407804,0,0
1029531,1011759121,1168308,0,0
1029542,1011759051,1617924,0,0
1029547,1011759071,1321308,0,0
1029554,1011759081,1514904,0,0
1029581,1011759091,1646892,0,0
1029586,1011759151,1728696,0,0
1029591,1011759111,1307028,0,0
1029596,1011759101,1239912,0,0
1029601,1011759141,1145664,0,0
1029606,1011759131,1534488,0,0
1029611,1011758951,1432284,0,0
1029616,1011759021,1269084,0,0
1029621,1011758931,1632000,0,0
1029626,1011758961,1409028,0,0
1029631,1011759031,1291524,0,0
1029636,1011758941,1402704,0,0
1029641,1011758971,1476756,0,0
1029646,1011759041,1250724,0,0
1029651,1011758991,1383936,0,0
1029656,1011758981,1360884,0,0
1029661,1011758911,1299072,0,0
1029666,1011759001,1180752,0,0
1029671,1011758901,1223592,0,0
1029676,1011758921,1301316,0,0
1029681,1011759011,1144236,0,0
1030075,1011947961,400044,0,0
1030076,1011947931,2429640,0,0
1030224,1011767801,1261740,0,0
1030229,1011767771,1569372,0,0
1030234,1011767821,1724208,0,0
1030239,1011767811,1157904,0,0
1030244,1011767751,1686060,0,0
1030249,1011767831,1412496,0,0
1030254,1011767791,1508580,0,0
1030259,1011767761,1204620,0,0
1030597,1011947971,150960,0,0
1030601,1011947941,1044888,0,0
1030602,1011948001,202572,0,0
1030606,1011948011,1134444,0,0
1030607,1011948031,295392,0,0
1030611,1011948061,1439424,0,0
1030612,1011948021,180948,0,0
1030616,1011947951,1100784,0,0
1030682,1011767781,1347012,0,0
1031259,1011785161,4825824,0,0
1031261,1011785191,4022064,0,0
1031262,1011785201,6867864,0,0
1031263,1011785181,5119380,0,0
1031264,1011785171,5056956,0,0
1031265,1011785031,2405772,0,0
1031266,1011785011,5205672,0,0
1031267,1011785061,3976572,0,0
1031272,1011785021,3811536,0,0
1031273,1011785071,2452284,0,0
1031274,1011785081,2406180,0,0
1031275,1011785141,2420664,0,0
1031276,1011785101,2380476,0,0
1031277,1011785121,2421888,0,0
1031278,1011785051,2385576,0,0
1031279,1011785041,2496144,0,0
1031280,1011785091,2424744,0,0
1031281,1011785151,2419236,0,0
1031282,1011785111,2537964,0,0
1031283,1011785131,2464320,0,0
1031913,1011792181,1152192,0,0
1031919,1011792211,1473492,0,0
1031924,1011792191,1362924,0,0
1031930,1011792201,1498788,0,0
1033548,1011948071,11317512,0,0
1033549,1011947991,9672252,0,0
1033550,1011948041,9937248,0,0
1033551,1011948051,10550676,0,0
1033552,1011947981,10332600,0,0
1036086,1012000661,5303592,0,0
1036087,1012000691,4834596,0,0
1036088,1012000681,4094484,0,0
1036089,1012000721,3703008,0,0
1036091,1012000711,4424556,0,0
1036092,1012000671,4815420,0,0
